code_smells,major_violations,blocker_violations,maintainability_issues,sqale_debt_ratio,duplicated_files,minor_violations,files,duplicated_lines_density,critical_violations,effort_to_reach_maintainability_rating_a,uncovered_lines,classes,forks,total_contributors,total_files,stars,size_kb,total_pull_requests,created_year,created_month,created_day,sqale_rating,mantenibilidad
0.150537634408602,-0.4,0,0.160919540229885,1.77777777777778,0,-0.25,-0.0264462809917355,-0.008130081300813,55.75,0.238095238095238,0.285714285714286,0.444444444444444,0,-1,-0.0253164556962025,0,-0.133527378570129,0,-1.25,0.8,0.5625,0,0
0.10752688172043,0.2,2.11111111111111,0.114942528735632,0,0,2.75,0.509090909090909,1.09756097560976,0,0.0952380952380952,0,-0.111111111111111,0,-1,-0.177215189873418,0,-0.154993632890668,0,-1.5,0.2,-0.3125,0,1
-0.236559139784946,-0.4,0.111111111111111,-0.252873563218391,0,105,0.5,-0.145454545454545,-0.008130081300813,0,0,-0.0840336134453781,0,7,-1,-0.291139240506329,0,0.168091686374386,0,-1,-1.2,0.1875,0,0
-0.10752688172043,-0.2,0.666666666666667,-0.137931034482759,0,0,0,1.47438016528926,2.27642276422764,0,-0.0476190476190476,0,0.111111111111111,9,0,-0.113924050632911,0,-0.0505730398399126,0,-1,-0.2,-0.4375,0,1
0.10752688172043,0.2,2.22222222222222,0.114942528735632,0,0,3,0.538842975206612,1.21951219512195,0,0.0952380952380952,0,-0.111111111111111,5,-1,-0.164556962025316,0,-0.149899945424777,1,-1.25,-0.2,0.9375,0,0
-0.10752688172043,0.2,0,-0.114942528735632,0.0014336917562724,20,0,-0.168595041322314,0.0373983739837398,0,-0.19047619047619,3.88235294117647,-0.111111111111111,0,0,-0.0632911392405063,0,-0.144806257958887,0,-1,-0.2,-0.1875,0,1
16.8817204301075,0.6,90.8888888888889,18.3218390804598,22.4229390681004,0,21,56.8595041322314,71.7439024390244,0,29.3809523809524,0,29.8888888888889,0,7,5.9873417721519,0,33.9657995270147,0,-1,-0.4,0.3125,0,0
-0.086021505376344,-0.2,0.777777777777778,-0.0919540229885057,0,0,0.25,0.423140495867769,0.922764227642276,0,-0.0952380952380952,-0.0672268907563025,0.555555555555556,0,29,3.15189873417722,0,25.6634527924322,0,-1.25,0.4,-0.0625,0,1
2.36559139784946,9.6,0,2.52873563218391,8.50179211469534,0,13.075,2.86942148760331,0.016260162601626,302.5,2.66666666666667,1.3109243697479,2,0,0,-0.189873417721519,0,0.0054575222848826,0,-1.25,0.6,-0.3125,0,1
-0.236559139784946,-0.4,0.111111111111111,-0.252873563218391,0,105,0.5,-0.145454545454545,-0.008130081300813,0,0,-0.0840336134453781,0,0,0,1.36708860759494,2,-0.0491177005639439,0,-2,0.4,0.4375,0,0
-0.193548387096774,0,0.111111111111111,-0.229885057471264,0,0,0,0.803305785123967,-0.008130081300813,0,1.19047619047619,-0.0840336134453781,0.444444444444444,7,-1,-0.291139240506329,0,0.168091686374386,0,-1,-1.2,0.1875,0,0
0.10752688172043,0.2,2.22222222222222,0.114942528735632,0,0,3,0.538842975206612,1.21951219512195,0,0.0952380952380952,0,-0.111111111111111,6,-1,-0.151898734177215,0,0.654175004547935,0,-1,0,-0.0625,0,1
2.51612903225806,-0.4,0.777777777777778,2.68965517241379,0,19,0.5,0.525619834710744,-0.008130081300813,2.625,7.61904761904762,0.252100840336134,-0.111111111111111,4,-1,-0.177215189873418,0,-0.0367473167182099,16,-0.5,-0.8,0.0625,0,2
1.76344086021505,0.8,0.222222222222222,1.88505747126437,0.0745519713261648,20,0,-0.181818181818182,0.0613821138211382,11.375,0.666666666666667,3.56302521008403,-0.111111111111111,0,19,0.050632911392405,0,-0.0367473167182099,0,-0.75,0,0.4375,1,0
1.41935483870968,1.6,5.22222222222222,1.6551724137931,0,13,0.5,-0.0793388429752066,-0.008130081300813,1.3875,8.85714285714286,0.252100840336134,1.44444444444444,0,0,-0.341772151898734,0,-0.100418410041841,0,-1.25,-1.2,-0.6875,0,1
-0.21505376344086,-0.4,0,-0.229885057471264,0.0473118279569892,0,-0.25,-0.201652892561983,-0.008130081300813,0.125,-0.19047619047619,0,-0.111111111111111,0,5,0.265822784810127,0,1.34109514280517,0,-1.25,0,0.1875,0,0
-0.021505376344086,1.2,0,-0.0229885057471264,0.0028673835125448,0,0.25,-0.128925619834711,-0.008130081300813,0,-0.19047619047619,2.48739495798319,0.222222222222222,0,2,-0.417721518987342,0,7.43059850827724,0,-1.5,1,0.3125,0,0
-0.021505376344086,-0.4,0.333333333333333,-0.0229885057471264,0,108,0.5,-0.168595041322314,-0.008130081300813,0,0.285714285714286,-0.0840336134453781,0,0,5,-0.126582278481013,0,-0.120065490267419,0,-1.25,-0.2,0.5,0,0
-0.064516129032258,0.2,0,-0.0689655172413793,0.0086021505376344,0,0.75,-0.19504132231405,-0.008130081300813,0.25,-0.19047619047619,3.79831932773109,-0.111111111111111,0,-1,-0.316455696202532,0,-0.155721302528652,0,-1.5,1,0.125,0,1
0.064516129032258,0.8,0.222222222222222,0.0689655172413793,0,8,0.5,12.3504132231405,-0.008130081300813,0,15.4285714285714,-0.0840336134453781,6.33333333333333,0,16,-0.379746835443038,0,-0.11533563762052,0,-1.25,-1,0.0625,0,0
-0.150537634408602,0.4,0,-0.160919540229885,0,1,0,1.96363636363636,-0.008130081300813,0.5875,3.0952380952381,-0.0504201680672268,0.666666666666667,0,0,0.620253164556962,0,-0.0203747498635619,4,0.25,-1.2,0.875,0,0
